,,,,,,,,,,,
序号,英文,中文释义,第一次背默,,,第二次背默,,,第三次背默,,
484,a disaster of great dimensions,巨大的灾难,,,,,,,,,
485,dine,"vi.进餐,用餐",,,,,,,,,
486,dine out,外出吃饭,,,,,,,,,
487,a dining table,餐桌,,,,,,,,,
488,a dining room,(家里的)餐厅,,,,,,,,,
489,a dining car,(火车上的)餐车,,,,,,,,,
490,dinner,"n.晚餐,正餐",,,,,,,,,
491,a dinner party,晚宴,,,,,,,,,
492,have noodles for dinner,晚饭吃面,,,,,,,,,
493,dinosaur,n.恐龙,,,,,,,,,
494,direct,"vt.指示,要求; vt.导演(电影或剧); vt.指导,监督,负责; vt.引导,指路; adj.直接的(反: in~); adj.率直的",,,,,,,,,
495,direct sb to do,指示/要求某人做某事,,,,,,,,,
496,direct that ...(should) do,指示/要求……,,,,,,,,,
497,direct a TV series,导演一部电视剧,,,,,,,,,
498,director,"n.①主管,董事;②导演",,,,,,,,,
499,direct day-to-day operations,负责日常运营,,,,,,,,,
500,direct sb to the school,给某人指出去学校的路,,,,,,,,,
501,a direct question,一个直截了当的问题,,,,,,,,,
502,go direct to ...,直接去……,,,,,,,,,
503,fly direct to ...,直飞……,,,,,,,,,
504,a direct flight to Shanghai,直飞上海的航班,,,,,,,,,
505,directly,adv.直接地(反: in~); conj.一……就……,,,,,,,,,
506,be directly associated with ...,与……直接相关,,,,,,,,,
507,direction,"n.方向; n.(常~s)指示,指引,说明",,,,,,,,,
508,go/ head in the direction of ...,朝着……方向去,,,,,,,,,
509,walk in the direction of ...,朝着……方向走去,,,,,,,,,
510,from all directions,从四面八方,,,,,,,,,
511,from the direction of ...,从……方向,,,,,,,,,
512,in all directions,向四面八方,,,,,,,,,
513,In which direction are we going?,我们要去什么方向?,,,,,,,,,
514,give sb directions,给某人指示,,,,,,,,,
515,follow the directions,遵照指示,,,,,,,,,
516,directory,n.公司名录;电话簿;[计算机]目录,,,,,,,,,
517,dirty,"adj.脏的,肮脏的",,,,,,,,,
518,dirt,"n.污垢,污物,灰尘",,,,,,,,,
519,disabled,adj.残疾的,,,,,,,,,
520,disability,"n.残疾,无能",,,,,,,,,
521,disappear,vi.消失,,,,,,,,,
522,disappearance,n.消失,,,,,,,,,
523,disappoint,vt.使失望,,,,,,,,,
524,be disappointed at sth/ with sb/ to do/ that ...,对……感到失望,,,,,,,,,
525,disappointed,adj.感到失望的,,,,,,,,,
526,disappointing,adj.令人失望的,,,,,,,,,
527,disappointment,n.失望,,,,,,,,,
528,disaster,"n.灾难,灾祸",,,,,,,,,
529,a natural disaster,"自然灾害,天灾",,,,,,,,,
530,a man-made disaster,人祸,,,,,,,,,
531,the disaster-stricken area,灾区,,,,,,,,,
532,disastrous,adj.灾难性的,,,,,,,,,
533,disastrous consequence,灾难性的后果,,,,,,,,,
534,discipline,"n.纪律; vt.(自我)训练,约束; n.训练(方法); vt./n.管教,约束; vt.惩戒,惩处; n.(尤指大学所教的)学科",,,,,,,,,
535,a disciplined army,纪律严明的军队,,,,,,,,,
536,self-discipline,n.自律,,,,,,,,,
537,the discipline for,……的训练方法,,,,,,,,,
538,discipline sb for sth,因某事惩罚某人,,,,,,,,,
539,discount,"n.折扣,打折; vt.将……打折出售; vt.低估,不认为……",,,,,,,,,
540,sell goods at a discount,打折出售商品,,,,,,,,,
541,give/ offer sb a 20% discount,向某人提供八折优惠,,,,,,,,,
542,(sb) get/ be given a 20% discount,(某人)享受到八折,,,,,,,,,
543,discount the possibility of ...,低估……的可能性,,,,,,,,,
544,discount ... as being important,不认为……重要,,,,,,,,,
545,discover,"vt.发现,发觉",,,,,,,,,
546,discovery,n.[U]发现; [C]被发现的事物,,,,,,,,,
547,make some scientific discoveries,做出科学发现,,,,,,,,,
548,discriminate,"vi.歧视; vt./ vi.区分,区别",,,,,,,,,
549,discriminate against women,歧视妇女,,,,,,,,,
550,discriminate A from B,将A和B区分开来,,,,,,,,,
551,discriminate between A and B,将A和B区分开来,,,,,,,,,
552,discrimination,n.(1)歧视;(2)辨别力,,,,,,,,,
553,discrimination against women,对女性的歧视,,,,,,,,,
554,gender/ sex discrimination,性别歧视,,,,,,,,,
555,racial discrimination,种族歧视,,,,,,,,,
556,indiscriminate,adj.不加区分的,,,,,,,,,
557,discuss,vt.讨论,,,,,,,,,
558,discussion,"n.讨论,议论",,,,,,,,,
559,"discuss sth, have a discussion on/ about sth",讨论某事,,,,,,,,,
560,have a discussion with sb,与某人讨论,,,,,,,,,
561,under discussion,正在讨论中,,,,,,,,,
562,disease,"n.病,疾病",,,,,,,,,
563,get/ contract/ pick up/ develop a disease,得病,,,,,,,,,
564,suffer from heart disease,患有心脏病,,,,,,,,,
565,recover from the disease,从疾病中恢复,,,,,,,,,
566,dish,"n.盘,碟;(~es)(待洗的)餐具;一盘食物",,,,,,,,,
567,a main dish/ course,一道主菜,,,,,,,,,
568,a side dish,一道配菜,,,,,,,,,
569,family dishes,家常菜,,,,,,,,,
570,"wash dishes, do the dishes",洗餐具,,,,,,,,,
571,"disk, disc","n.圆盘,磁盘,唱片",,,,,,,,,
572,dismiss,"vt.解雇,开除; vt.摒弃, 不予考虑,对……不屑一提, 驳回; vt.使解散",,,,,,,,,
573,dismiss the objections,对反对之声不予理会,,,,,,,,,
574,dismiss his suggestion(s),对他的建议不予考虑,,,,,,,,,
575,dismiss the case,驳回案件,,,,,,,,,
576,dismiss ... as ...,(持否定态度地)认为……是……,,,,,,,,,
577,The class is dismissed.,下课了。,,,,,,,,,
578,display,"vt./n.展示,表现(情感,态度,品质,能力); vt./n.展出",,,,,,,,,
579,display courage,展现勇气,,,,,,,,,
580,display artworks,展出艺术作品,,,,,,,,,
581,on display,"展览着,陈列着",,,,,,,,,
582,display the file on the screen,在屏幕上显示文件,,,,,,,,,
583,distance,"n.①距离,间距;②远,远处; vt.使疏远",,,,,,,,,
584,be seated at a distance of 2 meters,每隔2米就坐,,,,,,,,,
585,stand in the distance,站在远处,,,,,,,,,
586,look around in the distance,极目远眺,,,,,,,,,
587,look into the distance,朝远处看,,,,,,,,,
588,walk from a distance,从远处走来,,,,,,,,,
589,make a long-distance call,打长途电话,,,,,,,,,
590,distance learning,远程学习,,,,,,,,,
591,distance oneself from ...,与……疏远/撇清关系,,,,,,,,,
592,distant,adj.遥远的;(关系)远的,,,,,,,,,
593,in the not-so-distant future,在不久的未来,,,,,,,,,
594,in the near future,在不久的将来,,,,,,,,,
595,distinct,"adj.(视听/记忆方面)清楚的,明显的; adj.截然不同的",,,,,,,,,
596,distinguish,"vt.区分,区别; vt.使……脱颖而出,使……杰出; vt.认出,看出,听出",,,,,,,,,
597,distinction,"n.①区分, 区别;②n.独特性, 不同凡响处",,,,,,,,,
598,distinguish A from B,区分A和B,,,,,,,,,
599,make a distinction between A and B,区分A和B,,,,,,,,,
600,have the distinction of ...,有着……的独特之处,,,,,,,,,
601,distinctive,"adj.独特的,与众不同的",,,,,,,,,
602,distinguish the company from the competition,使公司在竞争中脱颖而出,,,,,,,,,
603,distinguished,"adj.卓越的,杰出的",,,,,,,,,
604,a distinguished guest,"嘉宾,尊贵的客人",,,,,,,,,
605,distinguish nothing in the dark room,在昏暗房间里看不清东西,,,,,,,,,
606,distract,"vt.分散(注意力),使…分心",,,,,,,,,
607,distract one's attention (from ...),分散某人(对……)的注意力,,,,,,,,,
608,distract sb (from ...),使某人(对……)分心,,,,,,,,,
609,distress,"n.痛苦,苦恼; vt.使苦恼,使悲伤; n.拮据,(缺钱而导致的)困苦, 困难; n.遇难、遇险(正处危险之中)",,,,,,,,,
610,be distressed to do,做某事很苦恼,,,,,,,,,
611,in distress,苦恼地,,,,,,,,,
612,distressed,adj.感到苦恼的,,,,,,,,,
613,distressing,adj.令人苦恼的,,,,,,,,,
614,financial distress,财政困难,,,,,,,,,
615,a poor family in great distress,一户极度贫困的家庭,,,,,,,,,
616,a distress signal,求救信号,,,,,,,,,
617,a ship in distress,一艘遇难船,,,,,,,,,
618,distribute,"vt.分发,分配,分送; vt.分销,经销",,,,,,,,,
619,distribute blankets to refugees,将毯子分发给难民,,,,,,,,,
620,distribution,"n.①分发,分配;②分销,经销",,,,,,,,,
621,district,"n.区,区域;行政区",,,,,,,,,
622,a school district,学区,,,,,,,,,
623,Huangpu District,黄浦区,,,,,,,,,
624,disturb,"vt.打扰,扰乱; vt.弄乱,搞乱,搅乱; vt.使不安; vt.挪动,改变……的位置",,,,,,,,,
625,disturb the balance of nature,破坏生态平衡,,,,,,,,,
626,disturb the papers on the desk,弄乱桌上的文件,,,,,,,,,
627,be disturbed to do,对做某事感到烦恼,,,,,,,,,
628,Don't disturb eggs in the nest.,别动巢里的蛋。,,,,,,,,,
629,dive,vi./n.潜水;跳水,,,,,,,,,
630,dive into the water,跳入水中,,,,,,,,,
631,dive for sth,潜水寻找某物,,,,,,,,,
632,diver,n.①潜水者;②跳水者,,,,,,,,,
633,diving,n.①潜水(运动);②跳水(运动),,,,,,,,,
634,diverse,adj.多种多样的,,,,,,,,,
635,diversity,"n.多样化,多样性",,,,,,,,,
636,biodiversity,n.生物多样性,,,,,,,,,
637,divide,"vt.划分,分开,分隔; vt.使……产生分歧,使……对立; vt.除",,,,,,,,,
638,divide ... from ...,把……与……隔开,,,,,,,,,
639,divide ... into ...,把……分成……,,,,,,,,,
640,divide up,"划分,瓜分,分割,分配",,,,,,,,,
641,divide up the work,分工,,,,,,,,,
642,divide up the money,把钱给分了,,,,,,,,,
643,divide schools up according to home addresses,根据家庭地址划分学校,,,,,,,,,
644,divide ... between(两者)/ among(三者及三者以上),把……分给……,,,,,,,,,
645,Six divided by two is three.,6÷3=2。,,,,,,,,,
646,division,n.①分开;②分歧;③除法;④部门,,,,,,,,,
647,dizzy,adj.头晕目眩的,,,,,,,,,
648,do,"v.做,干; aux.①构成疑问或否定句;②代替动词; ③加强语气",,,,,,,,,
649,do well/ badly in ...,在……上做得好/不好,,,,,,,,,
650,do with,"处理,对待",,,,,,,,,
651,I don't know what to do (with it).,我不知道该如何处置。,,,,,,,,,
652,I don't know how to do it/ deal with it.,我不知道该如何处置。,,,,,,,,,
653,do without sb/ sth,"没……也行,没……也能将就",,,,,,,,,
654,"He is very good at operating a computer, and he can do without a mouse.",他非常擅长电脑操作，没鼠标也行。,,,,,,,,,
655,make do (with ......),"凑活(用……),将就着(用……)",,,,,,,,,
656,have something to do with ...,与……有关,,,,,,,,,
657,have much to do with ...,与……很有关系,,,,,,,,,
658,have nothing to do with ...,与……无关,,,,,,,,,
659,do away with ...,"废除(规划,制度)",,,,,,,,,
660,Our school did away with school uniforms ten years ago.,我们学校十年前就取消了校服。,,,,,,,,,
661,Do cover your mouth and nose with a tissue when you are sneezing.,打喷嚏时，务必用纸巾遮住口鼻。,,,,,,,,,
662,doctor,n.医生; n.博士,,,,,,,,,
663,see a doctor,看医生,,,,,,,,,
664,a doctor's degree,博士学位,,,,,,,,,
665,doctorate,博士学位,,,,,,,,,
666,document,"n.文件,公文; n.证件; vt.记录,记载; vt.用文件(或文献)证明……",,,,,,,,,
667,a well-documented history,有据可查的历史,,,,,,,,,
668,documentary,n.纪录片,,,,,,,,,
669,a documentary(adj. ) film,纪录片,,,,,,,,,
670,It is well documented that ...,有充分的文件(或文献)证明……,,,,,,,,,
671,dog,n.狗,,,,,,,,,
672,a hunting dog,猎犬,,,,,,,,,
673,a guide dog,导盲犬,,,,,,,,,
674,dollar,n.美国、加拿大等地的货币单位,,,,,,,,,
675,dolphin,n.海豚,,,,,,,,,
676,domain,"n.(专业, 职责等)领域, 范畴; n.(旧的)领地, 领土, 势力范围; n.[网站]域名",,,,,,,,,
677,within/ outside the domain of ...,属于/不属于……的范畴,,,,,,,,,
678,domestic,"adj.国内的; adj.家庭的; adj.家养的,驯养的",,,,,,,,,
679,domestic affairs,国内事务,,,,,,,,,
680,domestic violence,家庭暴力,,,,,,,,,
681,domestic animals,家畜,,,,,,,,,
682,dominate,"vt.统治,支配,在……中占主导地位; vi.占主导地位",,,,,,,,,
683,dominant,adj.占统治地位的,,,,,,,,,
684,donate,"vt.捐赠,捐献",,,,,,,,,
685,donate blood,献血,,,,,,,,,
686,donate money to the disabled,给残疾人捐钱,,,,,,,,,
687,donation,"n.捐赠,捐献,捐款,捐赠物",,,,,,,,,
688,make a donation to the charitable cause,向慈善事业捐赠,,,,,,,,,
689,donor,n.捐赠者,,,,,,,,,
690,door,n.门,,,,,,,,,
691,at the door,在门口,,,,,,,,,
692,next door(to ...),(在……)的隔壁,,,,,,,,,
693,from door to door,挨家挨户,,,,,,,,,
694,"dorm /dɔːm/, dormitory /'dɔːmətri/",n.宿舍,,,,,,,,,
695,dot,"n.点; vt.加点于……; vt.在(表面)布满/涂上……; vt.遍布, 布满, 星罗密布于",,,,,,,,,
696,dot the word,给单词加点,,,,,,,,,
697,dot the face with sun cream,将防晒霜涂在脸上,,,,,,,,,
698,A be dotted with B,将A处布满了B,,,,,,,,,
699,This town is dotted with many small villages.,在A处遍布了许多小村庄。,,,,,,,,,
700,double,adj.双倍的; n.双倍; v.(使)加倍; v.①折起;②(笑得或痛得)弓起身子,,,,,,,,,
701,a double-bed room,一间有双人床的房间,,,,,,,,,
702,double up/ over,折起,,,,,,,,,
703,double up/ over a piece of paper,折叠一张纸,,,,,,,,,
704,He doubled up/ over with great pain.,他很痛，身体都直不起来了。,,,,,,,,,
705,doubt,n./vt.怀疑,,,,,,,,,
706,(There is) no doubt that ...,毫无疑问……,,,,,,,,,
707,No doubt,毫无疑问……,,,,,,,,,
708,Without doubt,毫无疑问……,,,,,,,,,
709,Beyond doubt,毫无疑问……,,,,,,,,,
710,Undoubtedly,毫无疑问……,,,,,,,,,
711,in doubt,"没把握,不能确定",,,,,,,,,
712,raise doubts about ...,对……产生怀疑,,,,,,,,,
713,cast doubt(s) on ...,对……产生怀疑,,,,,,,,,
714,I don't/ never doubt that he will keep his promise.,我从不怀疑他将会遵守自己的诺言。,,,,,,,,,
715,I doubt whether he will come tonight.,我怀疑他今晚会不会来。,,,,,,,,,
716,doubtful,"adj.可疑的,有疑问的",,,,,,,,,
717,be doubtful about ...,对……持怀疑态度,,,,,,,,,
718,down,"adv./prep.向下; adv./prep.在不远处; adv./prep.沿着,顺着; come down to,归结为……(to是介词)",,,,,,,,,
719,be down with illness,病倒,,,,,,,,,
720,let sb down,让某人失望了,,,,,,,,,
721,fall down to the ground,掉到地上,,,,,,,,,
722,go down to the shops,到附近的商店去,,,,,,,,,
723,walk down the street,沿着街道行走,,,,,,,,,
724,come down to,归结为……(to是介词),,,,,,,,,
725,It all comes down to funds in the end.,归根到底是资金的问题。,,,,,,,,,
726,download,vt./n.下载,,,,,,,,,
727,upload,vt./n.上传,,,,,,,,,
728,downstairs,adv.往楼下; adj.楼下的,,,,,,,,,
729,go downstairs,下楼,,,,,,,,,
730,downtown,adv./adj./n.市中心,,,,,,,,,
731,go downtown,去市中心,,,,,,,,,
732,a downtown store,一家市中心的商店,,,,,,,,,
733,a hotel in the heart of downtown,在市中心核心区域的酒店,,,,,,,,,
734,dozen,n.①十二;②(a~)十几,,,,,,,,,
735,half a dozen people,六个人,,,,,,,,,
736,a dozen people,①十二个人;②十几个人,,,,,,,,,
737,two dozen people,二十四个人,,,,,,,,,
738,dozens of ...,"几十,数十……",,,,,,,,,
739,draft,"n.草稿,草案; vt.起草,草拟; vt.征召",,,,,,,,,
740,make a rough draft,写初稿,,,,,,,,,
741,draft a contract,起草一份合同,,,,,,,,,
742,draft sb into the army,征召某人入伍,,,,,,,,,
743,drag,"vt.(用力或强行)拖,拽,拉; vi.缓慢前行; vi.拖沓地进行",,,,,,,,,
744,dragon,n.龙,,,,,,,,,
745,drama,n.戏剧,,,,,,,,,
746,dramatic,"adj.戏剧性的;戏剧的; adj.(变化,影响等)巨大的,显著的; adj.激动人心的,给人印象深刻的",,,,,,,,,
747,the dramatic talent,戏剧才能,,,,,,,,,
748,dramatic changes,巨变,,,,,,,,,
749,a dramatic increase/ rise,暴涨,,,,,,,,,
750,dramatically,"adv.①戏剧性地;②巨大地, 显著地",,,,,,,,,
751,the dramatic scenery,令人印象深刻的景色,,,,,,,,,
752,draw,"v.画画; v.吸引; v.拉; v.拔(牙); v.取出; v.获取, 得出, 推断出; v.呼吸,吸气; v./n.打平,平局; v.抽签",,,,,,,,,
753,draw customers,吸引顾客,,,,,,,,,
754,draw one's attention,吸引某人的注意力,,,,,,,,,
755,be drawn to ...,被……所吸引,,,,,,,,,
756,the horse-drawn carriage,马车,,,,,,,,,
757,draw a tooth,拔牙,,,,,,,,,
758,draw/ withdraw money from the bank,从银行取钱,,,,,,,,,
759,draw a gun,掏出一把枪,,,,,,,,,
760,draw a conclusion,得出结论,,,,,,,,,
761,draw a lesson from ...,从……吸取教训,,,,,,,,,
762,draw a breath,吸气,,,,,,,,,
763,"draw/ take a deep breath, breathe deeply",深吸一口气,,,,,,,,,
764,a prize draw,一场抽奖活动,,,,,,,,,
765,draw lots,抽签,,,,,,,,,
766,be drawing near,正在临近,,,,,,,,,
767,The final examination is drawing near.,期末考试快来了。,,,,,,,,,
768,draw up,"(正式)起草,草拟",,,,,,,,,
769,draw up a contract,起草合同,,,,,,,,,
770,draw on,利用,,,,,,,,,
771,He drew on his experience to make a documentary.,他利用自己的经验来制作一个纪录片。,,,,,,,,,
772,drawer,n.抽屉,,,,,,,,,
773,dream,v.做梦;梦想; n.梦;梦想,,,,,,,,,
774,"dream of/ about ..., dream that ...",梦见;梦想着,,,,,,,,,
775,I dream of becoming an astronaut some day.,我梦想有朝一日能成为宇航员。,,,,,,,,,
776,I dream that I can become an astronaut some day.,我梦想有朝一日能成为宇航员。,,,,,,,,,
777,dress,n.连衣裙;礼服; v.穿衣,,,,,,,,,
778,a wedding dress,结婚礼服,,,,,,,,,
779,an evening dress,晚礼服,,,,,,,,,
780,dress sb (in ...),给某人穿(……)衣服,,,,,,,,,
781,I spent much time dressing my son in the school uniform.,我花了好久给儿子穿校服。,,,,,,,,,
782,dress oneself (in ...),[表动作]穿上(……),,,,,,,,,
783,"After getting up, I began to dress myself (in clothes).",起床后，我开始穿衣。,,,,,,,,,
784,be dressed (in ...),[表状态]穿着(……),,,,,,,,,
785,Our class teacher is dressed in a grey coat today.,我们的班主任今天穿着一件灰色的大衣。,,,,,,,,,
786,be dressed for the cold day,穿保暖的衣服,,,,,,,,,
787,dress for the evening party,为参加晚宴而打扮,,,,,,,,,
788,dress up,"穿着盛装,盛装打扮",,,,,,,,,
789,dress well/ badly,穿着得体/糟糕,,,,,,,,,
790,drill,"n.钻,钻机; vt./vi.钻(孔); n./v.操练,反复练习",,,,,,,,,
791,drill a hole,"钻孔,打孔",,,,,,,,,
792,drill for oil,钻探石油,,,,,,,,,
793,drill students in grammar,反复操练学生语法,,,,,,,,,
794,drill sb to do,让某人反复练习做某事,,,,,,,,,
795,a well-drilled team,一支训练有素的队伍,,,,,,,,,
796,drink,"v.喝,饮;喝酒; n.饮料",,,,,,,,,
797,drink up the milk,把牛奶喝光,,,,,,,,,
798,drink to ...,为……举杯祝贺,,,,,,,,,
799,drunk,adj.喝醉的; n.喝醉酒的人,,,,,,,,,
800,a drunk driver,醉酒的司机,,,,,,,,,
801,get drunk,喝醉了,,,,,,,,,
802,energy drinks,功能饮料,,,,,,,,,
803,soft drinks,软饮料,,,,,,,,,
804,sugary drinks,含糖饮料,,,,,,,,,
805,drive,"v./n.开车,驾驶; n.私人车道; vt.驱赶; vt.逼迫,迫使; v.驱动; n.(机械装置/内心)驱动力; n.[计]驱动器; v.推进;猛冲; n.运动",,,,,,,,,
806,drive sb home,开车把某人送回家,,,,,,,,,
807,drive sb to+地点,开车把某人送到……,,,,,,,,,
808,a driving test,驾驶考试,,,,,,,,,
809,a driving license,驾照,,,,,,,,,
810,drunk driving,醉酒驾车,,,,,,,,,
811,driveway,私人车道,,,,,,,,,
812,"drive away, drive off","驱赶,赶走,驱逐",,,,,,,,,
813,drive sb mad,把某人逼疯,,,,,,,,,
814,drive sb to do,迫使某人做某事,,,,,,,,,
815,a petrol-driven car,汽油驱动的车,,,,,,,,,
816,be driven by profits,受利益驱使,,,,,,,,,
817,the driving force,(影响事物发展的)驱动力,,,,,,,,,
818,driver,n.①司机;②驱动因素,,,,,,,,,
819,a nationwide drive to crack down on crimes,打击犯罪的全国性运动,,,,,,,,,
820,drop,"v.(使)掉落,(使)落下; v.退出,停止; v.顺道; v.(使)滴下; n.滴; v./n.下降",,,,,,,,,
821,drop bombs(over the city),(在这座城市)投炸弹,,,,,,,,,
822,drop out,"退出,脱离;退学",,,,,,,,,
823,drop out of school,退学,,,,,,,,,
824,drop the course,退课,,,,,,,,,
825,drop sb from the name list,把某人踢出名单,,,,,,,,,
826,drop in at sp,顺道拜访某地,,,,,,,,,
827,drop in on sb,顺道拜访某人,,,,,,,,,
828,drop sb off,把某人放下车,,,,,,,,,
829,a drop of sweat,一滴汗珠,,,,,,,,,
830,drown,"v.(使)淹死,(使)淹没",,,,,,,,,
831,a drowning child,落水儿童(水中挣扎),,,,,,,,,
832,a drowned child,溺亡儿童(已死),,,,,,,,,
833,drown out ...,将……淹没,,,,,,,,,
834,drug,n.(~s)毒品; n.药物; vt.使(某人)服麻醉药;在(某处)投放麻醉药,,,,,,,,,
835,take drugs,吸毒,,,,,,,,,
836,dry,adj.干的; v.(使)变干,,,,,,,,,
837,dry up,"(使)干涸,(使)变干",,,,,,,,,
838,drought,n.干旱,,,,,,,,,
839,duck,n.鸭子,,,,,,,,,
840,due,"adj.应付的,到期的; adj.[置于名词前]适当的, 合适的; adj.应得的,应有的; n.应得的东西",,,,,,,,,
841,due to,因为,,,,,,,,,
842,be due to do,预期/预计做某事,,,,,,,,,
843,after due consideration,经过适当考虑后,,,,,,,,,
844,duly,"adv.①按时地,准时地;②适当地,恰当地",,,,,,,,,
845,be given due recognition,被给予应得的认可,,,,,,,,,
846,dumpling,"n.饺子,汤团",,,,,,,,,
847,a soup dumpling,汤包,,,,,,,,,
848,a red bean rice dumpling,赤豆粽子,,,,,,,,,
849,a rice dumpling(which is) made of red beans,赤豆粽子,,,,,,,,,
850,during,"prep.在…的时候,在…的期间",,,,,,,,,
851,duration,"n.持续时间,期间",,,,,,,,,
852,for the duration of ...,在……期间,,,,,,,,,
853,dust,"n.灰尘,尘土; v.擦灰,除去灰尘",,,,,,,,,
854,dusty,"adj.多尘的,落满灰尘的",,,,,,,,,
855,duty,"n.责任,职责,义务",,,,,,,,,
856,on duty,"值班,当班",,,,,,,,,
857,off duty,"不值班,不当班",,,,,,,,,
858,do one' s duty,尽职,,,,,,,,,
859,neglect one' s duty,玩忽职守,,,,,,,,,
860,dying,"adj.垂死的,临终的; adj.渴望的",,,,,,,,,
861,undying,adj.永恒的,,,,,,,,,
862,have an undying passion for ...,对……有着永恒的热情,,,,,,,,,
863,"be dying to do, be dying for sth",渴望……,,,,,,,,,
864,dynamic,"adj.精力充沛的; adj.不断变化的,动态的; adj.[物理]力学的;动力学的; n.动力,驱动力",,,,,,,,,
865,dynamics,n.(内部的)互动; n.(发展的)动态; n.力学;动力学,,,,,,,,,
866,group dynamics,小组成员的互动,,,,,,,,,
867,the dynamics of the reform,改革的动态,,,,,,,,,
868,dynasty,"n.王朝,朝代",,,,,,,,,
869,the Qing Dynasty,清朝(朝代前要加the),,,,,,,,,
870,each,"adj./ pron./ adv.每,每个,各,各自",,,,,,,,,
871,we each,我们每个人(复数),,,,,,,,,
872,each of us,我们每个人(单数),,,,,,,,,
873,eager,"adj.渴望的,热切的",,,,,,,,,
874,be eager for sth/ to do,渴望……,,,,,,,,,
875,eagle,n.鹰,,,,,,,,,
876,ear,n.耳朵,,,,,,,,,
877,early,adj./adv.早;早期,,,,,,,,,
878,an early riser,习惯早起的人,,,,,,,,,
879,earn,"vt.赚,挣; vt.赢得,博得",,,,,,,,,
880,earn money,挣钱,,,,,,,,,
881,earn sb sth,为某人博得/赢得……,,,,,,,,,
882,earth,"n.泥土,土壤; vt.用土掩盖; n.地球;地",,,,,,,,,
883,down-to-earth,"adj.务实的,脚踏实地的",,,,,,,,,
884,on the earth,在地球上,,,,,,,,,
885,on earth,究竟,,,,,,,,,
886,earthquake,n.地震,,,,,,,,,
887,the earthquake-stricken area,地震灾区,,,,,,,,,
888,ease,"vt.减轻,缓解; n.安逸,舒适; n.容易",,,,,,,,,
889,ease the anxiety,减轻/缓解焦虑,,,,,,,,,
890,ease the traffic jam(s),减轻/缓解交通堵塞,,,,,,,,,
891,feel at ease,感到安逸/舒适,,,,,,,,,
892,with ease,"容易地,不费力地",,,,,,,,,
893,easily,容易地,,,,,,,,,
894,east,n./ adj./adv.东方,,,,,,,,,
895,eastern,"adj.东方的,东部的",,,,,,,,,
896,easy,"adj.容易的,不费力的; adj.安逸的,舒适的,安心的",,,,,,,,,
897,take it easy,"放心好了,别着急",,,,,,,,,
898,feel/ be easy about ...,对……感到安心,,,,,,,,,
899,eat,v.吃,,,,,,,,,
900,eat out,出去吃,,,,,,,,,
901,eat up,"吃光,耗尽",,,,,,,,,
902,ecology,n.生态;生态学,,,,,,,,,
903,ecological,adj.生态的,,,,,,,,,
904,ecologist,n.生态学家,,,,,,,,,
905,economic,"adj.经济的,经济学的",,,,,,,,,
906,economical,"adj.经济型的,节约的",,,,,,,,,
907,the economical use of space,对空间的节约利用,,,,,,,,,
908,economy,n.经济;节约,,,,,,,,,
909,world economy,世界经济,,,,,,,,,
910,economy class,经济舱,,,,,,,,,
911,economics,n.经济学,,,,,,,,,
912,economist,n.经济学家,,,,,,,,,
913,edge,"n.刀刃; n.边缘; n.优势; v.(~out...) 小胜,险胜...",,,,,,,,,
914,animals on the edge of extinction,濒危动物,,,,,,,,,
915,have an edge over ...,比……占有优势,,,,,,,,,
916,~ out...,"小胜,险胜",,,,,,,,,
917,editor,n.编辑,,,,,,,,,
918,edit,vt.编辑;编校;剪辑,,,,,,,,,
919,edition,"n.(出版物的)版,版本,版次",,,,,,,,,
920,educate,vt.教育,,,,,,,,,
921,educate sb to do,教育某人做某事,,,,,,,,,
922,educator,n.教育工作者,,,,,,,,,
923,educated,adj.有教养的;受过教育的,,,,,,,,,
924,education,n.教育,,,,,,,,,
925,primary/ elementary education,"初等教育,小学教育",,,,,,,,,
926,secondary education,"中等教育,中学教育",,,,,,,,,
927,basic education,基础教育(中小学教育),,,,,,,,,
928,higher education,高等教育,,,,,,,,,
929,receive education,接受教育,,,,,,,,,
930,educational,adj.①教育的;②有教育意义的,,,,,,,,,
931,the educational cause,教育事业,,,,,,,,,
932,effect,"n.影响; n.效果,作用; n.[物理/化学/心理学等]效应; n.生效,实施; in effect 事实上",,,,,,,,,
933,the effect of A on B,A对B的影响,,,,,,,,,
934,have a short-term/ long-term effect on ...,对……有短期/长期影响,,,,,,,,,
935,have an immediate effect,立竿见影,,,,,,,,,
936,the side effect,副作用,,,,,,,,,
937,be of no effect,"无效,没效果",,,,,,,,,
938,take effect,"奏效,起作用,产生效果",,,,,,,,,
939,in effect,事实上,,,,,,,,,
940,effective,"adj.有效的,起作用的(反: in~)",,,,,,,,,
941,efficient,"adj.效率高的,高效的(反: in~)",,,,,,,,,
942,an energy-efficient device,节能装置,,,,,,,,,
943,efficiency,n.效率,,,,,,,,,
944,effort,n.努力,,,,,,,,,
945,make efforts/ an effort to do,努力做某事,,,,,,,,,
946,make every effort to do,尽一切努力去做某事,,,,,,,,,
947,spare no effort to do,不遗余力做某事,,,,,,,,,
948,effortless,adj.毫不费力的,,,,,,,,,
949,egg/ eg,n.蛋;卵,,,,,,,,,
950,lay eggs,下蛋,,,,,,,,,
951,either,adj./ pron.两者中任一; adv.也(用于否定句句末),,,,,,,,,
952,either ... or ...,要么……要么……,,,,,,,,,
